,UNITID,COSTT4_A,GRAD_DEBT_MDN10YR,NPT4_PUB,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P8
0,100654,21924,328.651592227982,13057,35500,28400,30600
1,100663,26248,236.417113118838,16585,48400,39400,44100
3,100706,24869,219.507458615495,17250,52000,40300,45900
4,100724,21938,328.651592227982,13593,30600,24400,27500
5,100751,31050,241.187862038277,21534,51600,42400,45600
6,100760,13930,103.535853216079,8628,32400,25900,29300
8,100830,20621,265.041606635469,13689,38000,32100,37000
9,100858,32678,222.634949573794,23258,56300,43100,50800
11,101028,9320,111.317474786897,3557,31300,26000,28200
13,101143,9454,79.5018803263754,3214,42700,33700,40900
14,101161,12881,116.618306919606,6043,33900,26600,31100
19,101295,13196,116.618306919606,8467,34800,29200,33000
26,101480,22023,235.240328385377,18336,38100,31800,34900
27,101505,14975,102.719525067642,9406,33800,29400,32500
28,101514,11507,127.219971185025,6604,32200,27000,30700
30,101587,22525,264.447913436606,16258,40400,29700,33400
32,101648,18568,98.0653944551237,12029,49800,33600,43600
35,101709,26709,254.43994237005,17348,36100,28000,32300
36,101736,9617,106.016642654187,2595,30800,25600,27600
37,101879,21507,234.05294198765,12631,42800,32100,36300
38,101897,9260,64.6701520190545,3232,31700,26200,29000
44,102076,13481,95.414978388769,7179,30700,25700,29800
45,102094,22139,264.288888472624,16223,46800,35100,42400
50,102368,21376,265.041606635469,14019,41100,34300,37500
54,102553,20548,214.259634804113,12531,51200,41500,46300
56,102614,19621,215.118369609612,9684,45100,36500,40400
57,102632,16275,202.608405776418,7368,39500,35200,38300
69,104151,26992,206.732453175666,12814,55500,42200,48800
70,104160,15598,51.163631744911,10135,32000,25600,28700
71,104179,27985,208.004652887516,15601,56000,41800,48100
72,104346,10402,106.122659296842,5491,31500,28300,31500
74,104425,12103,71.5612337915767,7124,34300,27000,29400
80,104708,15020,73.7875832873147,9717,38300,31300,34700
82,105145,15327,71.5612337915767,10356,39000,36700,38700
83,105154,16002,79.2262370554745,10850,41500,32900,36500
84,105206,11046,102.836143374562,6858,32900,27400,28900
87,105330,28480,201.431621042956,14636,44600,36900,40900
90,105428,15974,71.5612337915767,10118,36000,29600,33300
91,105525,8648,74.2116498579314,3409,35000,28700,32100
96,105668,14123,100.715810521478,9226,43400,35100,38000
98,105747,16557,84.8133141233502,11286,42500,34900,39600
99,105792,15440,84.8133141233502,10040,33400,28700,31500
102,106148,12567,95.414978388769,7144,34000,29000,31100
103,106245,20260,233.236613839213,15868,39500,34600,36900
111,106397,23843,227.935781706503,14998,52700,40900,46900
112,106412,18873,256.581478551665,10542,30600,23900,28100
113,106449,15021,85.7992689000342,9708,32900,26600,31600
114,106458,21752,217.334117441085,13430,36600,30900,35100
115,106467,19857,222.634949573794,12191,38600,31600,36100
116,106485,19028,211.725837044678,12907,35800,27300,30400
119,106625,13317,100.715810521478,8204,29100,25600,26800
120,106704,21408,215.70146114421,14735,42500,32600,37500
124,106883,13211,63.6099855925127,7290,26800,22300,25600
127,106980,14109,111.317474786897,8759,28100,24900,26600
128,106999,14176,108.667058720542,7884,30300,26400,29900
130,107071,25533,206.732453175666,16696,40400,29300,35000
140,107460,15648,95.414978388769,9786,28900,25000,28500
143,107521,10098,108.667058720542,3716,31000,25700,27000
144,107549,11266,104.087139757881,4901,28100,22600,25800
146,107585,13628,109.356166897794,7391,31600,28600,30900
149,107637,13136,91.1743126826015,7662,29700,24000,27600
151,107664,18439,128.068104326258,12959,30700,25100,28100
153,107743,10811,68.910817725222,4926,24100,22100,23200
158,107974,11982,118.240361552215,7312,32700,28800,30300
159,107983,23732,198.781204976602,15873,39000,30400,37800
160,107992,17911,63.6099855925127,7639,31200,26400,28300
162,108092,18174,193.480372843892,9336,35000,30700,34700
173,109208,13465,102.041018554655,6039,38100,27900,33000
174,109350,11709,132.520803317734,3524,34500,25100,30600
179,109819,13485,88.1210333741609,5223,36000,27000,31300
180,109907,17676,37.1058249289657,9250,35000,26000,31000
186,110246,14581,111.317474786897,7473,37600,29300,32500
188,110334,20716,152.451932136722,12456,40600,29300,35000
194,110422,28843,196.130788910247,20633,74300,54700,63300
196,110486,18172,175.987626805951,6821,50100,39100,44600
197,110495,17005,143.54653415377,6041,48500,39300,42700
198,110510,13365,156.003489665637,2232,48800,37400,42400
199,110529,22108,169.6266282467,11740,58000,42900,49400
200,110538,22469,175.478746921211,13384,55400,42900,48300
201,110547,14579,146.377178512637,3724,48500,38300,41800
202,110556,17014,153.777140169899,5640,48500,37200,43400
203,110565,14182,145.772883649508,4211,51800,38500,44800
204,110574,22134,175.393933607088,11327,58200,45200,51700
205,110583,18699,151.487180688568,8338,53000,40000,46200
206,110592,13712,137.821635450444,2037,49900,37200,44200
207,110608,19641,147.066286689889,7944,49700,37400,43500
208,110617,17561,159.024963981281,6654,54200,41800,48100
209,110635,37510,137.821635450444,15240,79000,57600,68100
210,110644,33396,137.821635450444,14920,68100,45300,56600
211,110653,30173,159.024963981281,9691,65800,44300,54300
212,110662,29153,148.423299715862,11627,73200,52000,63900
213,110671,30569,185.529124644828,13233,55300,36800,45300
214,110680,32719,164.325796113991,14895,69600,48200,58900
216,110705,34738,148.349088066005,15458,62400,42800,52100
217,110714,37040,176.687336647469,18828,53800,38400,44700
224,111188,24845,264.670548386179,18133,87800,76700,85900
227,111461,11273,101.903196919205,3251,45800,34000,40200
236,111887,13286,89.5522580499924,5797,36600,27900,33100
238,111920,13354,100.715810521478,5814,41300,31900,37600
245,112172,13090,83.2336661478028,5321,36100,26600,31700
247,112190,14677,87.1244769332115,5498,41800,31600,37200
252,112385,14743,87.4637301897049,6210,43100,32700,39600
260,113096,12112,113.67104425382,5137,34900,27500,32800
262,113193,19119,145.772883649508,11004,42100,33200,40000
264,113236,13898,106.016642654187,5852,41100,31400,37200
265,113333,13158,59.6343614929806,4740,50200,37100,44700
270,113634,13436,106.239277603761,5637,47800,33700,40600
273,113856,18616,111.317474786897,10278,36100,26800,32900
277,114266,19861,140.14339992457,11409,44100,30400,36000
279,114433,17276,113.967890853251,9326,34600,25400,28700
284,114716,15141,111.317474786897,7286,58300,44000,55800
287,114789,12737,43.0215535890694,4201,33200,25100,28700
290,114859,16615,47.7074891943845,9765,38500,28900,34600
293,115001,14283,95.1181317893373,5963,41100,28600,33800
296,115126,11843,76.1093477614414,3809,40100,29400,37300
298,115296,11295,91.439354289237,3377,39400,29000,34000
305,115755,24219,190.829956777538,13335,40100,30200,35300
311,116439,10767,68.910817725222,1627,43800,33600,36300
314,117052,12373,29.8860915642155,4213,31000,24000,27500
328,117645,11991,111.317474786897,4301,33800,26100,30000
331,117706,19386,137.143128937457,11378,41700,29600,35400
333,117724,15980,111.317474786897,8181,34200,25800,30000
334,117733,17366,111.317474786897,9622,37900,30600,33800
336,117788,16656,135.171219384089,9186,33100,25600,29900
338,117867,17890,134.407899556979,10630,37000,27700,31400
346,118347,13784,106.673945838643,4937,42800,32600,37300
348,118684,16011,114.879633980077,6382,31800,27100,30900
353,118912,12359,95.414978388769,4318,34300,28400,31800
360,119137,9520,100.715810521478,1247,47000,35000,38500
361,119164,11578,62.3377858806624,3605,41400,30800,36900
365,119331,20220,107.575087301204,12814,46500,38800,44200
378,120342,12400,100.715810521478,4384,43900,30600,37200
391,121044,12197,70.5116690293003,3800,39300,27800,34300
399,121619,11661,72.8440351676924,3358,39400,29400,33700
403,121707,12318,85.6614472645837,4534,32700,24800,28300
406,121886,12763,58.3091534598033,5461,40500,30000,34900
407,121901,12940,84.8133141233502,4838,37200,28200,33500
409,122180,13642,111.317474786897,5507,40700,29400,34000
410,122205,13443,100.715810521478,5379,46000,33700,38300
412,122339,14837,81.516196536805,6485,34700,26900,30100
413,122375,12900,50.0928636541037,4893,43100,31800,38100
414,122384,13234,71.5612337915767,4730,44400,31000,38300
415,122409,16194,159.024963981281,6488,55900,41600,48500
419,122597,23297,162.958181423752,12590,54700,42100,49000
422,122658,21669,79.5124819906408,13760,36600,27000,31800
427,122755,24198,159.024963981281,13874,63800,47200,54300
428,122791,9076,155.791456380329,984,47900,36500,43400
430,122889,18904,116.618306919606,11391,42800,31900,39300
432,122977,11330,68.3807345119511,3305,40200,27900,33200
433,123013,15082,100.715810521478,6987,42800,32800,39500
436,123217,11245,47.7074891943845,3417,33100,25900,31000
438,123299,12311,151.073715782217,5322,34100,26100,31500
439,123341,10481,111.317474786897,2599,37800,29800,34300
443,123484,16204,113.967890853251,9566,32000,25700,28600
448,123563,9096,127.219971185025,1790,40500,29500,34600
449,123572,16072,177.10080155382,6230,53200,41200,46600
454,123800,12476,47.7074891943845,4530,34700,26400,30600
467,125028,9319,147.108693346951,874,39800,30200,36000
474,125462,17869,71.5612337915767,10033,32800,27500,30700
475,125471,16442,143.122467583153,8110,37300,27700,34100
487,126182,23292,206.732453175666,14305,38100,28800,32300
488,126207,14059,72.5577902325261,9679,37800,31600,34800
489,126289,16158,125.990178130236,11682,40700,35700,40600
491,126562,22842,217.334117441085,13322,71200,48700,57100
492,126580,22367,212.033285308375,14633,49300,37300,41600
494,126614,31442,206.732453175666,21771,59700,42700,50200
498,126711,12281,95.414978388769,6002,37100,31400,33800
499,126748,20220,127.219971185025,11530,43300,35900,38000
500,126775,36050,243.838278104632,25211,95600,74700,80700
502,126818,27955,212.033285308375,19016,53400,39900,46200
