,UNITID,CIPCODE,CREDLEV,DEBT_ALL_STGP_ANY_MEAN,EARN_MDN_HI_1YR,EARN_MDN_HI_2YR,EARN_NE_MDN_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_NE_3YR,employment_rate,rate_over85
39,100654.0,2401,3,32054.0,23094.0,24615.0,30613.0,17.0,25.0,0.68,0
66,100663.0,901,3,26312.0,28940.0,29517.0,33859.0,71.0,92.0,0.7717391304347826,0
89,100663.0,1313,3,24668.0,30620.0,29882.0,33214.0,46.0,55.0,0.8363636363636363,0
108,100663.0,1419,3,24556.0,63241.0,59253.0,73433.0,33.0,34.0,0.9705882352941176,1
117,100663.0,2301,3,25487.0,27282.0,27497.0,25437.0,24.0,37.0,0.6486486486486487,0
119,100663.0,2401,3,29552.0,29046.0,30988.0,36764.0,22.0,29.0,0.7586206896551724,0
120,100663.0,2601,3,23301.0,25827.0,27222.0,34116.0,32.0,50.0,0.64,0
163,100663.0,4201,3,27457.0,28215.0,28547.0,31874.0,91.0,135.0,0.674074074074074,0
166,100663.0,4301,3,27058.0,32883.0,32284.0,39414.0,63.0,76.0,0.8289473684210527,0
172,100663.0,4407,3,30331.0,30245.0,29250.0,34775.0,38.0,61.0,0.6229508196721312,0
176,100663.0,4511,3,29116.0,29052.0,29374.0,30716.0,30.0,39.0,0.7692307692307693,0
181,100663.0,5007,3,24741.0,24280.0,26086.0,29957.0,36.0,59.0,0.6101694915254238,0
191,100663.0,5107,3,30157.0,35408.0,37424.0,42589.0,77.0,95.0,0.8105263157894737,0
213,100663.0,5138,3,23111.0,54481.0,55753.0,59229.0,189.0,197.0,0.9593908629441624,1
218,100663.0,5202,3,26831.0,45512.0,44021.0,47426.0,155.0,183.0,0.8469945355191257,0
222,100663.0,5203,3,34607.0,48623.0,45696.0,47379.0,75.0,104.0,0.7211538461538461,0
228,100663.0,5212,3,30467.0,52299.0,52107.0,60465.0,45.0,52.0,0.8653846153846154,1
232,100663.0,5214,3,27573.0,36117.0,38829.0,41084.0,62.0,75.0,0.8266666666666667,0
267,100706.0,1101,3,24264.0,63538.0,60452.0,69837.0,28.0,29.0,0.9655172413793104,1
277,100706.0,1312,3,23381.0,34498.0,36848.0,40101.0,18.0,21.0,0.8571428571428571,1
296,100706.0,1410,3,24628.0,68266.0,62012.0,72527.0,33.0,35.0,0.9428571428571428,1
299,100706.0,1419,3,23995.0,63270.0,63997.0,69217.0,17.0,21.0,0.8095238095238095,0
315,100706.0,2601,3,26764.0,24909.0,25967.0,31530.0,20.0,26.0,0.7692307692307693,0
353,100706.0,5138,3,29622.0,51910.0,50554.0,50913.0,108.0,120.0,0.9,1
358,100706.0,5202,3,25215.0,36684.0,43993.0,54212.0,23.0,29.0,0.7931034482758621,0
