,UNITID,STABBR,HIGHDEG,CONTROL,ADM_RATE_ALL,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,COMPL_RPY_3YR_RT
0,100654,AL,4,1,0.71600609756097,21924.0,10024.0,18634.0,39059.0,0.429326288
1,100663,AL,4,1,0.88535192339996,26248.0,8568.0,20400.0,50907.0,0.6182700794
3,100706,AL,4,1,0.73672375021622,24869.0,11488.0,23884.0,56901.0,0.680887372
4,100724,AL,4,1,0.97991295614328,21938.0,11068.0,19396.0,34018.0,0.3660377358
5,100751,AL,4,1,0.78904316258456,31050.0,11620.0,31090.0,56118.0,0.7118012422
8,100830,AL,4,1,0.96798825256975,20621.0,8860.0,18820.0,43743.0,0.634180791
9,100858,AL,4,1,0.71182881349795,32678.0,11826.0,31986.0,61042.0,0.8109577583
10,100937,AL,3,2,0.65908167411621,33920.0,20100.0,20100.0,55236.0,0.8177083333
15,101189,AL,4,2,0.64600781686208,36457.0,23490.0,23490.0,41523.0,0.4255952381
21,101365,AL,4,2,0.94095092024539,31202.0,14200.0,14200.0,34238.0,0.4517045455
22,101435,AL,3,2,0.69301164725457,39177.0,27900.0,27900.0,47328.0,0.6006825939
26,101480,AL,4,1,0.76342650004769,22023.0,11120.0,20840.0,41504.0,0.575465639
30,101587,AL,4,1,0.74333983105912,22525.0,10990.0,20090.0,38617.0,0.5104166667
32,101648,AL,2,1,0.45353982300884,18568.0,9218.0,15218.0,50097.0,0.6436781609
34,101693,AL,4,2,0.64092446448703,37823.0,24855.0,24855.0,43640.0,0.5628140704
35,101709,AL,4,1,0.90086526576019,26709.0,13710.0,26730.0,40439.0,0.6257309942
37,101879,AL,4,1,0.89970674486803,21507.0,10620.0,20220.0,42601.0,0.6903096903
39,101912,AL,4,2,0.71850170261066,37238.0,19990.0,19990.0,41219.0,0.4601226994
42,102049,AL,4,2,0.83874792506521,51314.0,35360.0,35360.0,54742.0,0.8342749529
45,102094,AL,4,1,0.7077938563087,22139.0,8756.0,17012.0,45018.0,0.6317122594
46,102234,AL,4,2,0.71523178807947,56502.0,21100.0,21100.0,51166.0,0.814516129
47,102270,AL,3,2,0.75798319327731,24540.0,11392.0,11392.0,34087.0,0.3584070796
50,102368,AL,4,1,0.95270469997044,21376.0,9312.0,18624.0,41691.0,0.5638020833
51,102377,AL,4,2,0.34197976038152,41991.0,22614.0,22614.0,43878.0,0.6222707424
54,102553,AK,4,1,0.69046925094724,20548.0,8622.0,25228.0,49846.0,0.7915774447
56,102614,AK,4,1,0.64693295292439,19621.0,7248.0,21384.0,46150.0,0.7436823105
57,102632,AK,4,1,0.5625,16275.0,6960.0,21096.0,41500.0,0.730964467
58,102669,AK,4,2,0.96031746031746,38278.0,20760.0,20760.0,47105.0,0.6868686869
69,104151,AZ,4,1,0.86360587857934,26992.0,11348.0,29438.0,58967.0,0.7006873106
71,104179,AZ,4,1,0.87269322792052,27985.0,12736.0,37258.0,59805.0,0.7751378871
78,104586,AZ,4,2,0.72428128523111,56260.0,38966.0,38966.0,82012.0,0.7685950413
81,104717,AZ,4,3,0.82835517213314,31393.0,17800.0,17800.0,38385.0,0.6479820628
87,105330,AZ,4,1,0.78354170554207,28480.0,11896.0,26642.0,50118.0,0.6863436123
94,105589,AZ,4,2,0.99319727891156,44892.0,34701.0,34701.0,37590.0,0.6176470588
100,105899,AZ,3,2,0.75941080196399,47850.0,30624.0,30624.0,44012.0,0.7692307692
103,106245,AR,4,1,0.57686212361331,20260.0,8366.0,18957.0,42973.0,0.7130497477
108,106342,AR,3,2,0.27209492635024,33415.0,30414.0,30414.0,45416.0,0.7478991597
111,106397,AR,4,1,0.82671698816512,23843.0,9574.0,26390.0,54417.0,0.7701102491
112,106412,AR,4,1,0.6752500532028,18873.0,8398.0,15268.0,34777.0,0.5534482759
114,106458,AR,4,1,0.63290488431876,21752.0,7130.0,12698.0,39824.0,0.7110711071
115,106467,AR,4,1,0.94371180443872,19857.0,7900.0,13636.0,40334.0,0.7142857143
118,106546,AR,2,2,0.0,24888.0,12598.0,12598.0,57627.0,0.7505617978
120,106704,AR,4,1,0.9237246161466,21408.0,9563.0,16433.0,43712.0,0.7536764706
121,106713,AR,3,2,0.6160458452722,27262.0,17400.0,17400.0,42333.0,0.7704918033
129,107044,AR,4,2,0.54136363636363,33168.0,22230.0,22230.0,50273.0,0.8066825776
130,107071,AR,4,1,0.75010517458981,25533.0,7560.0,9768.0,40681.0,0.7623188406
131,107080,AR,4,2,0.68301886792452,55218.0,33350.0,33350.0,48230.0,0.8370786517
134,107141,AR,4,2,0.5286783042394,41492.0,28924.0,28924.0,54964.0,0.8238482385
142,107512,AR,4,2,0.7375478927203,41491.0,30140.0,30140.0,46670.0,0.7708333333
145,107558,AR,3,2,0.55370177267987,34732.0,24950.0,24950.0,40448.0,0.7471264368
146,107585,AR,2,1,1.0,13628.0,3216.0,4128.0,33405.0,0.5751072961
157,107877,AR,4,2,0.64098221845893,31252.0,18570.0,18570.0,38840.0,0.5857142857
159,107983,AR,4,1,0.62602204052612,23732.0,9410.0,14630.0,40671.0,0.6818181818
167,108852,CA,2,2,0.71095152603231,47804.0,37230.0,37230.0,25799.0,0.4523809524
175,109651,CA,4,2,0.75560081466395,68087.0,48044.0,48044.0,70731.0,0.7412280702
178,109785,CA,4,2,0.94101336022183,54720.0,41510.0,41510.0,61701.0,0.6573426573
183,110097,CA,4,2,0.60771704180064,57403.0,44382.0,44382.0,53148.0,0.8168604651
189,110361,CA,4,2,0.63732320033776,46274.0,37018.0,37018.0,56253.0,0.6633663366
190,110370,CA,4,2,0.77625570776255,68296.0,52312.0,52312.0,49184.0,0.7046783626
193,110413,CA,4,2,0.81935164563226,55039.0,46012.0,46012.0,65401.0,0.7685185185
194,110422,CA,4,1,0.32999816749129,28843.0,10195.0,28105.0,85801.0,0.9149090909
196,110486,CA,4,1,0.85211610183233,18172.0,7579.0,19459.0,55530.0,0.6259414226
197,110495,CA,4,1,0.94756097560975,17005.0,7644.0,19524.0,58120.0,0.7088274045
198,110510,CA,4,1,0.90970360726047,13365.0,7213.0,19093.0,55258.0,0.5835654596
199,110529,CA,4,1,0.606243632659,22108.0,7439.0,19319.0,67406.0,0.8168567807
200,110538,CA,4,1,0.85472736368184,22469.0,7864.0,19744.0,61010.0,0.780758226
201,110547,CA,4,1,0.89594408936144,14579.0,7060.0,18940.0,49934.0,0.5730788548
202,110556,CA,4,1,0.97275293808679,17014.0,6653.0,18533.0,55534.0,0.7159090909
203,110565,CA,4,1,0.59430660168365,14182.0,6976.0,18856.0,58585.0,0.766270515
204,110574,CA,4,1,0.8235741971207,22134.0,6995.0,18875.0,64188.0,0.7257900102
205,110583,CA,4,1,0.46852000834301,18699.0,6846.0,18726.0,60973.0,0.7737405652
206,110592,CA,4,1,0.90541696608835,13712.0,6785.0,18665.0,54219.0,0.6720142602
207,110608,CA,4,1,0.88104497801826,19641.0,7043.0,18923.0,56375.0,0.7080088988
208,110617,CA,4,1,0.93684488681405,17561.0,7392.0,19272.0,61267.0,0.749219563
209,110635,CA,4,1,0.14440417216841,37510.0,14226.0,43980.0,88046.0,0.8493539237
210,110644,CA,4,1,0.48754591368227,33396.0,14645.0,44399.0,74305.0,0.8821130677
211,110653,CA,4,1,0.28818897637795,30173.0,13775.0,43529.0,76593.0,0.8266571292
212,110662,CA,4,1,0.10773609388553,29153.0,13258.0,43012.0,79826.0,0.8316498316
213,110671,CA,4,1,0.65380088092345,30569.0,13754.0,43508.0,63645.0,0.7271431964
214,110680,CA,4,1,0.34204213336036,32719.0,14700.0,44454.0,82255.0,0.8638862559
216,110705,CA,4,1,0.29178065334481,34738.0,14417.0,44171.0,70326.0,0.7925300588
217,110714,CA,4,1,0.58638463408704,37040.0,14070.0,43824.0,64166.0,0.792998055
223,111081,CA,4,2,0.28976311336717,74931.0,53466.0,53466.0,41120.0,0.6794425087
224,111188,CA,4,1,0.82089552238805,24845.0,7116.0,18996.0,91812.0,0.9361702128
240,111948,CA,4,2,0.60372234733077,71065.0,58634.0,58634.0,64844.0,0.766192733
241,111966,CA,4,2,0.63291139240506,36763.0,14954.0,14954.0,103684.0,0.6
242,112075,CA,4,2,0.81378254211332,53068.0,38740.0,38740.0,59831.0,0.810880829
243,112084,CA,4,2,0.52704257767548,47504.0,34310.0,34310.0,50020.0,0.5962732919
253,112394,CA,4,3,0.5064935064935,35103.0,21784.0,21784.0,55079.0,0.5714285714
271,113698,CA,4,2,0.92932862190812,66179.0,47910.0,47910.0,71134.0,0.8181818182
278,114354,CA,4,3,0.35973154362416,52083.0,32645.0,32645.0,46231.0,0.7114485981
288,114813,CA,4,2,0.77862595419847,38688.0,33452.0,33452.0,55044.0,0.6297420334
303,115728,CA,4,2,0.95305832147937,54556.0,40904.0,40904.0,67068.0,0.6258064516
305,115755,CA,4,1,0.91458719520889,24219.0,7864.0,19744.0,46266.0,0.6840301576
315,117104,CA,4,2,0.93965517241379,31462.0,18300.0,18300.0,40331.0,0.6086956522
316,117140,CA,4,2,0.71942446043165,60612.0,45850.0,45850.0,62629.0,0.6240506329
317,117168,CA,4,2,0.83304647160068,53081.0,33600.0,33600.0,55170.0,0.68
326,117627,CA,4,2,0.6606749816581,46046.0,34218.0,34218.0,60858.0,0.612244898
335,117751,CA,4,2,0.6698024459078,43385.0,28870.0,28870.0,53478.0,0.8269230769
340,117946,CA,4,2,0.45823050669467,59539.0,53526.0,53526.0,71771.0,0.8088560886
349,118693,CA,3,2,0.69775070290534,64663.0,47425.0,47425.0,64817.0,0.7894736842
352,118888,CA,4,2,0.79811097992916,47187.0,30950.0,30950.0,57423.0,0.7433628319
362,119173,CA,4,2,0.90116959064327,56544.0,45388.0,45388.0,72991.0,0.720685112
364,119270,CA,3,3,0.78571428571428,40208.0,24795.0,24795.0,31511.0,0.4418604651
367,119605,CA,4,2,0.54545454545454,18576.0,13320.0,13320.0,66998.0,0.5781584582
369,119775,CA,4,3,0.6084656084656,55686.0,29427.0,29427.0,62773.0,0.5714285714
376,120254,CA,3,2,0.3824480369515,72382.0,58426.0,58426.0,68355.0,0.8942307692
379,120403,CA,4,2,0.79816112084063,66930.0,50950.0,50950.0,51787.0,0.7544378698
381,120537,CA,4,2,0.3997233748271,44331.0,35450.0,35450.0,43659.0,0.6447368421
387,120865,CA,4,2,0.57730263157894,45003.0,32103.0,32103.0,67209.0,0.7368421053
388,120883,CA,4,2,0.79304650949454,57004.0,52352.0,52352.0,80965.0,0.7924528302
392,121150,CA,4,2,0.52711935892028,77912.0,59702.0,59702.0,78224.0,0.7781420765
393,121257,CA,3,2,0.18307943416757,58504.0,57978.0,57978.0,64269.0,0.8736842105
395,121309,CA,4,2,0.83660130718954,52834.0,39500.0,39500.0,64114.0,0.846737481
402,121691,CA,4,2,0.82968499733048,62643.0,54066.0,54066.0,68726.0,0.7556346382
415,122409,CA,4,1,0.3790422701744,16194.0,8136.0,20016.0,61522.0,0.7221256039
416,122436,CA,4,2,0.52701382102471,68002.0,52864.0,52864.0,78234.0,0.8493031359
418,122506,CA,4,2,0.46445497630331,69637.0,50800.0,50800.0,30576.0,0.6511627907
419,122597,CA,4,1,0.92915001620045,23297.0,7304.0,19184.0,64797.0,0.7218063872
420,122612,CA,4,2,0.70923475773288,72280.0,53472.0,53472.0,83794.0,0.7815699659
425,122728,CA,4,2,0.77777777777777,51573.0,37000.0,37000.0,52890.0,0.7149758454
427,122755,CA,4,1,0.84366479419204,24198.0,7852.0,19732.0,72635.0,0.8345864662
431,122931,CA,4,2,0.53982668566001,72321.0,55860.0,55860.0,99012.0,0.9023809524
442,123457,CA,4,2,0.66946484784889,49249.0,35900.0,35900.0,47218.0,0.7169811321
447,123554,CA,4,2,0.70082316207777,61577.0,51768.0,51768.0,71724.0,0.8426470588
449,123572,CA,4,1,0.93734666918286,16072.0,7988.0,19868.0,62725.0,0.7492857143
452,123651,CA,4,2,0.69009256085018,47967.0,37700.0,37700.0,53394.0,0.7069846678
457,123952,CA,4,2,0.64858490566037,64108.0,49016.0,49016.0,78173.0,0.6296296296
458,123961,CA,4,2,0.12507215159578,67045.0,61503.0,61503.0,89884.0,0.8394308943
479,125727,CA,3,2,0.78967576791808,65901.0,48660.0,48660.0,63267.0,0.8631578947
